cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
C3	native	Quantitative endpoints	False	3	3	0	0.443	1.89	0.0621	0.253	0.998500749625187	-1.906	0.971657243344069	-0.004	-0.0488	0.0409	1	0.0038	-0.0038	0	1	0.999500249875062		5
C4	native	Psychiatric endpoints from Katri Räikkönen	True	11	4.08	10	0.724	3.23	0.8822	0.8822	0.000499750124937531	2.415	0.0078723789895588	0.5273	0.472	0.5785	1	0.5474	0.5474	7.868	0.0174578152725808	0.00749625187406297	1	5
C4	native	V Mental and behavioural disorders (F5_)	True	31	10.44	29	0.628	6.93	0.842	0.842	0.000499750124937531	2.424	0.00767728351475523	0.4886	0.4341	0.5395	1	0.54	0.54	12.208	4.00016086805388e-06	0.00749625187406297	2	5
C4	native	X Diseases of the respiratory system (J10_)	True	25	10.36	21	0.491	5.6	0.6475	0.6481	0.00549725137431284	1.051	0.14666041843874	0.2793	0.2371	0.3204	1	0.3091	0.3091	4.244	0.0031804594275722	0.0549725137431284	3	5
C4	native	Interstitial lung disease endpoints	True	3	2	3	0.554	1.55	0.8583	0.8583	0.0109945027486257	1.717	0.0429469899214635	0.4244	0.3576	0.4869	1	0.4262	0.4262	Inf	0.181831949664753	0.0624687656171914	4	5
C4	native	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	True	74	29.16	47	0.495	14.95	0.5823	0.5819	0.0124937531234383	0.585	0.279428620489055	0.2574	0.2173	0.2966	0.996	0.2795	0.2783	1.393	0.125243774145359	0.0624687656171914	5	5
C4	native	Asthma and related endpoints	True	10	3.05	9	0.804	2.65	0.6743	0.6743	0.0294852573713143	1.161	0.12286638029849	0.3147	0.2675	0.3604	1	0.317	0.317	7.055	0.0286153783359943	0.126365388734204	6	5
C4	native	Alcohol related diseases	True	3	2	3	0.866	1.87	0.7706	0.7706	0.0514742628685657	1.184	0.118239375676831	0.3837	0.313	0.4501	1	0.3753	0.3753	Inf	0.181831949664753	0.154422788605697	7	5
C4	native	I Certain infectious and parasitic diseases (AB1_)	True	4	3	4	0.522	2.04	0.7444	0.7444	0.0514742628685657	1.178	0.119298935388801	0.3618	0.289	0.4304	1	0.3916	0.3916	Inf	0.102694562664911	0.154422788605697	8	5
C4	native	Drug purchase endpoints	True	6	4	4	0.377	2.13	0.6965	0.6965	0.0454772613693153	1.135	0.128251682851137	0.2885	0.2458	0.3301	1	0.2743	0.2743	1.532	0.476636628154541	0.154422788605697	9	5
C4	native	Neurological endpoints	True	3	3	2	0.156	1.31	0.6606	0.6606	0.168415792103948	0.838	0.201012013991802	0.3392	0.2842	0.3919	1	0.3007	0.3007	1.529	0.600694833713916	0.42103948025987	10	5
C4	native	XI Diseases of the digestive system (K11_)	True	43	23.19	31	0.256	6.68	0.5474	0.5474	0.15592203898051	0.398	0.345278456197239	0.2336	0.1961	0.2704	0.995	0.285	0.2836	2.089	0.0231281652116014	0.42103948025987	11	5
