cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank
C0	domain	Musculoskeletal	True	93	36.97	5	0.458	17.48	0.699	0.7569	0.000499750124937531	1.462	0.0718753886087868	0.1264	0.0876	0.1648	0.979	0.1257	0.123	1.208	0.435785417235174	0.00999500249875062	1
C0	domain	Psychiatric	True	51	17.22	8	0.629	11.2	0.6335	0.7054	0.00199900049975013	0.944	0.172649644547846	0.1364	0.0891	0.183	0.98	0.1394	0.1367	4.967	0.00123100040424998	0.0199900049975012	2
C0	domain	Medication-use	True	7	5	1	0.378	2.51	0.6486	0.6199	0.0864567716141929	0.853	0.196721278278089	0.0688	0.0203	0.117	0.84	0.1192	0.1001	3.525	0.283516602605182	0.345827086456772	3
C0	domain	Respiratory	True	51	20.07	3	0.484	10.24	0.5689	0.5491	0.0619690154922539	0.509	0.305309263322351	0.069	0.0283	0.1095	0.648	0.0998	0.0647	1.322	0.425792480589166	0.345827086456772	4
C0	domain	Genitourinary	True	50	21.94	2	0.34	8.12	0.5665	0.5639	0.0779610194902549	0.547	0.2921121335364	0.0795	0.038	0.1206	0.674	0.1082	0.0729	0.848	0.692193426277531	0.345827086456772	5
C0	domain	Ophthalmic	True	36	19.85	2	0.203	4.82	0.533	0.5712	0.237881059470265	0.303	0.381077666329163	0.0811	0.0425	0.1194	0.849	0.1072	0.091	1.229	0.507278600386825	0.594702648675662	6
C0	domain	Digestive	True	60	30.3	7	0.236	7.91	0.5124	0.5187	0.368315842078961	0.112	0.455495291860408	0.0649	0.0286	0.1009	0.627	0.1038	0.0651	3.296	0.014777902040486	0.818479649064357	7
C0	domain	Cardiovascular	True	55	20.75	0	0.343	7.77	0.4593	0.216	0.835582208895552	-0.358	0.639693533502448	-0.032	-0.0634	-5e-04	0.439	0.068	-0.0299	0	1	1	8
C0	domain	Endocrine-metabolic	True	28	14.36	0	0.281	4.76	0.4459	0.3932	0.829085457271364	-0.444	0.671341949089599	0.0137	-0.0234	0.0507	0.393	0.0726	0.0285	0	1	1	9
C0	domain	Neurological	True	31	17.47	0	0.261	5.29	0.4423	0.5462	0.853573213393304	-0.471	0.681176860639255	0.0716	0.0322	0.1108	0.926	0.0812	0.0752	0	1	1	10
C0	domain	Immune-blood	True	9	6	0	0.472	3.36	0.346	0.4743	0.942028985507246	-0.866	0.806648594259366	0.057	-0.0041	0.1176	0.864	0.0549	0.0474	0	1	1	11
C0	domain	Infectious	True	5	4	0	0.495	2.48	0.327	0.3747	0.903048475762119	-0.846	0.801245490116607	0.0319	-0.0483	0.1116	0.33	0.0559	0.0184	0	1	1	12
C0	domain	Dermatologic	True	22	12.27	0	0.34	4.83	0.3186	0.3789	0.999500249875062	-1.316	0.905937925873621	0.0168	-0.0331	0.0666	0.535	0.0626	0.0335	0	1	1	13
C0	domain	Neoplasms	True	35	17.85	0	0.248	5.19	0.3129	0.3314	1	-1.633	0.948741825342745	0.0122	-0.0275	0.052	0.132	0.0568	0.0075	0	1	1	14
C0	domain	Reproductive-perinatal	True	33	17.42	0	0.284	5.66	0.3045	0.2115	1	-1.589	0.943930998964348	-0.0296	-0.0764	0.0174	0.455	0.0589	-0.0268	0	1	1	15
C0	domain	Injury	True	9	5.08	0	0.574	3.34	0.2923	0.4538	0.984507746126937	-1.172	0.879308074788613	0.0475	-0.0224	0.1169	1	0.0556	0.0556	0	1	1	16
C0	domain	Otologic	True	16	8.31	0	0.373	3.72	0.2142	0.2939	1	-2.023	0.978470907316084	0.0042	-0.0524	0.0607	0.03	0.0445	-0.0013	0	1	1	17
C0	domain	Alcohol-substance	True	4	2	0	0.756	1.76	0.1431	0.3062	0.997501249375312	-1.858	0.968447550448867	0.0036	-0.0615	0.0687	0.302	0.0222	0.0067	0	1	1	18
C0	domain	Unclassified	False	5	4	0	0.469	2.41	0.636	0.44	0.140429785107446	0.676	0.249594279887884	0.02	-0.0266	0.0664	0.305	0.0772	0.0235	0	1	0.428357249946455	
C0	domain	Quantitative	False	3	3	0	0.443	1.89	0.6766	0.3306	0.149925037481259	0.769	0.220881408912433	9e-04	-0.0422	0.0439	0.185	0.0685	-0.0126	0	1	0.428357249946455	
C1	domain	Musculoskeletal	True	93	36.97	60	0.458	17.48	0.7021	0.706	0.000499750124937531	1.484	0.0688397904741734	0.2883	0.2462	0.3293	1	0.3028	0.3028	2.636	1.94967204449407e-05	0.00499750124937531	1
C1	domain	Respiratory	True	51	20.07	36	0.484	10.24	0.6842	0.6917	0.000499750124937531	1.362	0.0866494982137321	0.279	0.2349	0.3219	0.999	0.298	0.2978	3.306	7.64961306082497e-05	0.00499750124937531	2
C1	domain	Psychiatric	True	51	17.22	34	0.629	11.2	0.6025	0.5909	0.00449775112443778	0.724	0.234492707496113	0.2492	0.1972	0.2998	0.934	0.2849	0.2661	2.715	0.000720608446190159	0.0224887556221889	3
C1	domain	Infectious	True	5	4	5	0.495	2.48	0.7743	0.7743	0.0184907546226887	1.342	0.0898528285225014	0.374	0.2933	0.4493	1	0.3823	0.3823	Inf	0.0170194396526313	0.0739630184907546	4
C1	domain	Medication-use	True	7	5	5	0.378	2.51	0.6847	0.6923	0.0484757621189405	1.061	0.144443909480186	0.2862	0.2331	0.3376	1	0.2833	0.2833	3.163	0.144628300033095	0.161585873729802	5
C1	domain	Alcohol-substance	True	4	2	2	0.756	1.76	0.6252	0.6277	0.194902548725637	0.652	0.257208873468551	0.3059	0.2334	0.3751	1	0.2992	0.2992	1.251	0.600666791403669	0.455327891609751	6
C1	domain	Neurological	True	31	17.47	16	0.261	5.29	0.5448	0.514	0.204897551224388	0.366	0.357364629523655	0.2263	0.183	0.2688	0.812	0.2318	0.1883	1.353	0.261184343949765	0.455327891609751	7
C1	domain	Cardiovascular	True	55	20.75	21	0.343	7.77	0.4957	0.5088	0.547226386806597	-0.038	0.515167421677756	0.1866	0.153	0.2198	1	0.1833	0.1833	0.752	0.870120932702852	1	8
C1	domain	Dermatologic	True	22	12.27	5	0.34	4.83	0.4669	0.4545	0.698650674662669	-0.24	0.594762749727964	0.1757	0.1218	0.2286	0.932	0.2203	0.2052	0.355	0.991487329577219	1	9
C1	domain	Endocrine-metabolic	True	28	14.36	11	0.281	4.76	0.4653	0.4864	0.745627186406797	-0.285	0.612082283576528	0.2019	0.162	0.2411	1	0.1869	0.1869	0.8	0.774983278387642	1	10
C1	domain	Genitourinary	True	50	21.94	23	0.34	8.12	0.4616	0.4708	0.824087956021989	-0.316	0.623999915332297	0.1821	0.1366	0.2268	0.976	0.2162	0.2111	1.07	0.466415055671248	1	11
C1	domain	Otologic	True	16	8.31	6	0.373	3.72	0.4394	0.4435	0.792603698150925	-0.429	0.666027426525201	0.1881	0.127	0.2478	0.95	0.2235	0.2122	0.744	0.793372573980017	1	12
C1	domain	Digestive	True	60	30.3	22	0.236	7.91	0.4242	0.4407	0.969015492253873	-0.686	0.753716109762319	0.165	0.1265	0.2031	0.991	0.1927	0.1909	0.698	0.922646571151698	1	13
C1	domain	Reproductive-perinatal	True	33	17.42	9	0.284	5.66	0.3622	0.3843	0.9960019990005	-1.12	0.868694143852753	0.1712	0.1186	0.2229	0.974	0.1911	0.1862	0.45	0.988431018474716	1	14
C1	domain	Injury	True	9	5.08	3	0.574	3.34	0.3622	0.3794	0.923538230884558	-0.777	0.781469936486181	0.1573	0.0805	0.2322	0.979	0.174	0.1704	0.62	0.844669929929756	1	15
C1	domain	Immune-blood	True	9	6	1	0.472	3.36	0.3389	0.3609	0.954522738630685	-0.905	0.817382417320063	0.1398	0.0737	0.2046	0.985	0.1511	0.1489	0.153	0.995210497909006	1	16
C1	domain	Neoplasms	True	35	17.85	3	0.248	5.19	0.2427	0.1623	1	-2.246	0.98763908155472	-1e-04	-0.0409	0.0407	0.328	0.1148	0.0377	0.107	0.999999749463587	1	17
C1	domain	Ophthalmic	True	36	19.85	0	0.203	4.82	0.1576	0.1677	1	-3.14	0.999154647081613	0.0408	-0.0012	0.0826	0.652	0.0818	0.0533	0	1	1	18
C1	domain	Unclassified	False	5	4	5	0.469	2.41	0.9003	0.9003	0.00149925037481259	1.989	0.0233392112321033	0.4343	0.3781	0.4873	1	0.4381	0.4381	Inf	0.0170194396526313	0.00999500249875063	
C1	domain	Quantitative	False	3	3	2	0.443	1.89	0.7663	0.6096	0.0634682658670665	1.16	0.123053288148422	0.1286	0.0832	0.1734	0.675	0.2025	0.1367	2.509	0.417145567657308	0.181337902477333	
C2_sub0	domain	Respiratory	True	51	20.07	39	0.484	10.24	0.6841	0.3084	0.000499750124937531	1.361	0.0867321408610768	-0.2777	-0.304	-0.2509	1	0.3002	-0.3002	2.712	0.00157810655027885	0.00499750124937531	1
C2_sub0	domain	Musculoskeletal	True	93	36.97	74	0.458	17.48	0.6682	0.323	0.000499750124937531	1.235	0.10837874524449	-0.2815	-0.3075	-0.2551	1	0.3004	-0.3004	3.574	3.62959206649804e-07	0.00499750124937531	2
C2_sub0	domain	Alcohol-substance	True	4	2	4	0.756	1.76	0.7384	0.2608	0.0419790104947526	1.241	0.107278159892797	-0.3954	-0.4357	-0.3536	1	0.3809	-0.3809	Inf	0.100148299129521	0.141595868732301	3
C2_sub0	domain	Psychiatric	True	51	17.22	36	0.629	11.2	0.5781	0.4194	0.0349825087456272	0.552	0.290460361072291	-0.2539	-0.2844	-0.2229	0.944	0.2761	-0.2607	1.959	0.0217961379099948	0.141595868732301	4
C2_sub0	domain	Infectious	True	5	4	5	0.495	2.48	0.7223	0.277	0.0499750124937531	1.087	0.138441236852492	-0.3369	-0.3857	-0.2862	1	0.3646	-0.3646	Inf	0.0561563673987498	0.142785749982152	5
C2_sub0	domain	Medication-use	True	7	5	5	0.378	2.51	0.6605	0.328	0.0764617691154423	0.922	0.178266511599942	-0.2951	-0.3266	-0.263	0.985	0.2756	-0.2714	1.949	0.342431965877585	0.191154422788606	6
C2_sub0	domain	Cardiovascular	True	55	20.75	25	0.343	7.77	0.5136	0.4712	0.379810094952524	0.119	0.452514876127356	-0.1949	-0.2147	-0.1749	1	0.1958	-0.1958	0.617	0.967642295584817	0.844022433227831	7
C2_sub0	domain	Neurological	True	31	17.47	15	0.261	5.29	0.5094	0.4993	0.44327836081959	0.077	0.469293299742313	-0.212	-0.2377	-0.1859	0.862	0.2246	-0.1936	0.713	0.865272732958512	0.853209758756985	8
C2_sub0	domain	Endocrine-metabolic	True	28	14.36	15	0.281	4.76	0.5067	0.4719	0.469265367316342	0.055	0.477939445922441	-0.2294	-0.2532	-0.2054	1	0.2091	-0.2091	0.888	0.693159040526673	0.853209758756985	9
C2_sub0	domain	Reproductive-perinatal	True	33	17.42	23	0.284	5.66	0.4933	0.4923	0.541729135432284	-0.054	0.521630733401067	-0.2451	-0.2766	-0.2131	0.991	0.2691	-0.2667	1.837	0.0780804245970681	0.90288189238714	10
C2_sub0	domain	Genitourinary	True	50	21.94	29	0.34	8.12	0.4792	0.513	0.68415792103948	-0.171	0.56802227953248	-0.1932	-0.22	-0.166	0.969	0.2296	-0.2226	1.076	0.464414844039259	1	11
C2_sub0	domain	Digestive	True	60	30.3	29	0.236	7.91	0.4361	0.5521	0.947026486756622	-0.579	0.718567717008894	-0.1773	-0.2013	-0.153	0.962	0.2133	-0.2051	0.699	0.927202556689713	1	12
C2_sub0	domain	Immune-blood	True	9	6	5	0.472	3.36	0.4316	0.5455	0.758120939530235	-0.385	0.649733153107255	-0.1926	-0.2323	-0.1522	1	0.2055	-0.2055	0.967	0.654252360179869	1	13
C2_sub0	domain	Dermatologic	True	22	12.27	14	0.34	4.83	0.4316	0.5677	0.858070964517741	-0.496	0.690063464366871	-0.1851	-0.2184	-0.1514	0.939	0.212	-0.1991	1.37	0.317939317822492	1	14
C2_sub0	domain	Otologic	True	16	8.31	7	0.373	3.72	0.3197	0.6851	0.99400299850075	-1.276	0.899091504905692	-0.1152	-0.15	-0.0802	0.807	0.1681	-0.1357	0.594	0.90038365931665	1	15
C2_sub0	domain	Injury	True	9	5.08	4	0.574	3.34	0.31	0.6864	0.974512743628186	-1.072	0.858056512796797	-0.1201	-0.164	-0.0758	0.894	0.1545	-0.1381	0.615	0.85625678614962	1	16
C2_sub0	domain	Neoplasms	True	35	17.85	4	0.248	5.19	0.2177	0.84	1	-2.464	0.993130914419646	0.0045	-0.0206	0.0296	0.26	0.11	-0.0286	0.089	0.999999998579418	1	17
C2_sub0	domain	Ophthalmic	True	36	19.85	2	0.203	4.82	0.1578	0.8843	1	-3.138	0.999150763353307	7e-04	-0.024	0.0254	0.033	0.0845	0.0028	0.04	0.999999999998597	1	18
C2_sub0	domain	Unclassified	False	5	4	5	0.469	2.41	0.892	0.1077	0.00199900049975013	1.948	0.0257195011331997	-0.4015	-0.4354	-0.3665	1	0.4136	-0.4136	Inf	0.0561563673987498	0.0133266699983342	
C2_sub0	domain	Quantitative	False	3	3	1	0.443	1.89	0.7879	0.4452	0.0424787606196902	1.254	0.104939055706195	-0.1032	-0.131	-0.0752	0.429	0.2009	-0.0861	0.385	0.917443486960142	0.141595868732301	
C2_sub1	domain	Musculoskeletal	True	93	36.97	28	0.458	17.48	0.6935	0.2949	0.000499750124937531	1.421	0.0776460275118453	-0.2289	-0.2889	-0.1671	0.998	0.2387	-0.2383	4.262	3.89765222468471e-07	0.00999500249875062	1
C2_sub1	domain	Respiratory	True	51	20.07	6	0.484	10.24	0.6226	0.3657	0.00249875062468766	0.907	0.182295270130012	-0.1952	-0.2601	-0.1285	1	0.2056	-0.2056	0.937	0.626492262342557	0.0233216724970848	2
C2_sub1	domain	Infectious	True	5	4	2	0.495	2.48	0.7767	0.2223	0.0134932533733133	1.353	0.0880161028838111	-0.3146	-0.4284	-0.1909	1	0.3112	-0.3112	4.813	0.11830113508864	0.0666333499916708	3
C2_sub1	domain	Digestive	True	60	30.3	8	0.236	7.91	0.5824	0.4023	0.0199900049975013	0.745	0.228001214526479	-0.1917	-0.2492	-0.1328	0.978	0.2147	-0.2101	1.098	0.473008769339862	0.0666333499916708	4
C2_sub1	domain	Medication-use	True	7	5	3	0.378	2.51	0.7138	0.2895	0.0249875062468766	1.228	0.109732877809017	-0.2299	-0.3048	-0.1522	0.952	0.2309	-0.2198	5.479	0.0443298613238091	0.0713928749910759	5
C2_sub1	domain	Alcohol-substance	True	4	2	1	0.756	1.76	0.646	0.3457	0.160919540229885	0.76	0.223544905720659	-0.2267	-0.3225	-0.1262	1	0.2169	-0.2169	2.374	0.411874564026939	0.402298850574713	6
C2_sub1	domain	Reproductive-perinatal	True	33	17.42	5	0.284	5.66	0.5318	0.463	0.264367816091954	0.258	0.398080707938998	-0.1981	-0.2702	-0.1238	0.924	0.2154	-0.199	1.281	0.389616571338473	0.587484035759898	7
C2_sub1	domain	Cardiovascular	True	55	20.75	3	0.343	7.77	0.5111	0.4632	0.401799100449775	0.097	0.461264796769324	-0.157	-0.2083	-0.1048	0.971	0.15	-0.1457	0.383	0.978135314023584	0.80359820089955	8
C2_sub1	domain	Immune-blood	True	9	6	1	0.472	3.36	0.5104	0.464	0.465767116441779	0.059	0.476601272818103	-0.1803	-0.2758	-0.0812	1	0.1833	-0.1833	0.882	0.698706037423798	0.846849302621417	9
C2_sub1	domain	Genitourinary	True	50	21.94	3	0.34	8.12	0.484	0.4975	0.634182908545727	-0.132	0.552356991503483	-0.1632	-0.228	-0.0969	0.969	0.1736	-0.1683	0.428	0.962418707147423	1	10
C2_sub1	domain	Neurological	True	31	17.47	5	0.261	5.29	0.4783	0.5371	0.650674662668666	-0.177	0.5704350916288	-0.1506	-0.2133	-0.0867	0.771	0.1707	-0.1316	1.385	0.33653980911983	1	11
C2_sub1	domain	Endocrine-metabolic	True	28	14.36	4	0.281	4.76	0.4533	0.5679	0.808595702148926	-0.383	0.649033548470868	-0.1339	-0.1925	-0.0742	0.738	0.1535	-0.1134	1.188	0.465703194628795	1	12
C2_sub1	domain	Psychiatric	True	51	17.22	1	0.629	11.2	0.4408	0.5667	0.928035982008996	-0.419	0.66228968961026	-0.1246	-0.1958	-0.0522	0.821	0.1578	-0.1296	0.13	0.999147383825326	1	13
C2_sub1	domain	Dermatologic	True	22	12.27	0	0.34	4.83	0.4153	0.5878	0.911044477761119	-0.614	0.730471766161463	-0.1299	-0.2101	-0.048	0.812	0.1564	-0.127	0	1	1	14
C2_sub1	domain	Otologic	True	16	8.31	1	0.373	3.72	0.3521	0.6336	0.977011494252874	-1.047	0.852509574044975	-0.1099	-0.193	-0.0252	0.729	0.132	-0.0962	0.464	0.883074153032544	1	15
C2_sub1	domain	Injury	True	9	5.08	0	0.574	3.34	0.2066	0.7328	1	-1.655	0.951067413782491	-0.064	-0.1681	0.0415	0.88	0.0751	-0.0661	0	1	1	16
C2_sub1	domain	Ophthalmic	True	36	19.85	0	0.203	4.82	0.1992	0.8679	1	-2.758	0.99709520131605	0.0171	-0.0426	0.0767	0.17	0.0839	0.0142	0	1	1	17
C2_sub1	domain	Neoplasms	True	35	17.85	0	0.248	5.19	0.1937	0.8489	1	-2.674	0.996247941523298	0.0109	-0.0515	0.0731	0.045	0.0833	-0.0037	0	1	1	18
C2_sub1	domain	Unclassified	False	5	4	3	0.469	2.41	0.8323	0.1653	0.00349825087456272	1.651	0.0493363286700917	-0.2443	-0.3188	-0.1668	1	0.2575	-0.2575	11	0.0152440490287051	0.0233216724970848	
C2_sub1	domain	Quantitative	False	3	3	1	0.443	1.89	0.8267	0.3948	0.0194902548725637	1.423	0.0774122966268904	-0.0785	-0.1443	-0.0121	0.573	0.1694	-0.0971	3.568	0.328175498186371	0.0666333499916708	
C3	domain	Alcohol-substance	True	4	2	3	0.756	1.76	0.9488	0.9493	0.000499750124937531	2.337	0.0097158546365869	0.366	0.296	0.432	1	0.3466	0.3466	30.389	0.00297255026688102	0.00333166749958354	1
C3	domain	Psychiatric	True	51	17.22	33	0.629	11.2	0.9142	0.9203	0.000499750124937531	2.928	0.00170827743403825	0.2973	0.2474	0.3456	0.99	0.2961	0.2931	40.486	3.3032137314633e-26	0.00333166749958354	2
C3	domain	Injury	True	9	5.08	3	0.574	3.34	0.8233	0.8384	0.000999500249875062	1.824	0.034109606454099	0.1821	0.1094	0.2528	1	0.1976	0.1976	5.019	0.0442413261136071	0.00499750124937531	3
C3	domain	Respiratory	True	51	20.07	4	0.484	10.24	0.592	0.6133	0.0149925037481259	0.68	0.24815203321199	0.0738	0.0286	0.1187	0.834	0.1052	0.0877	0.804	0.731819694183771	0.0599700149925037	4
C3	domain	Infectious	True	5	4	1	0.495	2.48	0.678	0.7297	0.0859570214892554	0.871	0.192005002395586	0.1298	0.04	0.2175	1	0.1787	0.1787	2.429	0.39133918831784	0.245591489969301	5
C3	domain	Reproductive-perinatal	True	33	17.42	3	0.284	5.66	0.5764	0.1738	0.0739630184907546	0.621	0.267215915766251	-0.0442	-0.0954	0.0072	0.44	0.1173	-0.0516	0.959	0.619121855671055	0.245591489969301	6
C3	domain	Dermatologic	True	22	12.27	1	0.34	4.83	0.5207	0.5253	0.378810594702649	0.15	0.440205069805412	0.0572	0.0036	0.1106	0.672	0.1002	0.0673	0.448	0.891141116254689	0.947026486756622	7
C3	domain	Digestive	True	60	30.3	2	0.236	7.91	0.4896	0.5427	0.620689655172414	-0.094	0.537367286638064	0.0545	0.0167	0.092	0.824	0.09	0.0742	0.307	0.984786778194029	1	8
C3	domain	Otologic	True	16	8.31	0	0.373	3.72	0.4639	0.5143	0.687656171914043	-0.255	0.600803976712295	0.0531	-0.0064	0.1123	0.751	0.0872	0.0655	0	1	1	9
C3	domain	Neurological	True	31	17.47	1	0.261	5.29	0.4563	0.4662	0.802598700649675	-0.357	0.639378634177052	0.05	0.009	0.0909	0.57	0.0731	0.0417	0.308	0.957166616771012	1	10
C3	domain	Genitourinary	True	50	21.94	0	0.34	8.12	0.4423	0.399	0.92303848075962	-0.475	0.682463055136897	0.0159	-0.0288	0.0606	0.348	0.0748	0.026	0	1	1	11
C3	domain	Cardiovascular	True	55	20.75	0	0.343	7.77	0.4339	0.4894	0.952023988005997	-0.58	0.719141714027347	0.0313	-0.0025	0.0651	0.738	0.0597	0.0441	0	1	1	12
C3	domain	Endocrine-metabolic	True	28	14.36	0	0.281	4.76	0.423	0.4878	0.918540729635182	-0.631	0.73611865031475	0.0424	0.0036	0.0811	0.686	0.0596	0.0409	0	1	1	13
C3	domain	Neoplasms	True	35	17.85	3	0.248	5.19	0.397	0.4006	0.977511244377811	-0.899	0.815693964862902	0.027	-0.0135	0.0674	0.37	0.0794	0.0294	0.896	0.660529679204345	1	14
C3	domain	Musculoskeletal	True	93	36.97	0	0.458	17.48	0.3784	0.3954	1	-0.894	0.814205328525471	0.0194	-0.0225	0.0612	0.396	0.0524	0.0207	0	1	1	15
C3	domain	Ophthalmic	True	36	19.85	0	0.203	4.82	0.3146	0.3316	1	-1.7	0.955472233685525	0.0051	-0.0363	0.0465	0.169	0.0495	0.0084	0	1	1	16
C3	domain	Immune-blood	True	9	6	0	0.472	3.36	0.3106	0.4672	0.977011494252874	-1.065	0.856499595208766	0.04	-0.0253	0.1048	0.894	0.0554	0.0495	0	1	1	17
C3	domain	Medication-use	True	7	5	0	0.378	2.51	0.3012	0.3875	0.975012493753123	-1.142	0.873171799943708	0.0209	-0.0297	0.0713	0.498	0.0373	0.0186	0	1	1	18
C3	domain	Unclassified	False	5	4	3	0.469	2.41	0.928	0.9303	0.000499750124937531	2.127	0.01672339639323	0.2785	0.2236	0.3316	1	0.2842	0.2842	15.167	0.00693317886213938	0.00333166749958354	
C3	domain	Quantitative	False	3	3	0	0.443	1.89	0.0653	0.2708	0.999500249875062	-1.893	0.970814930281899	-0.004	-0.0488	0.0409	1	0.0038	-0.0038	0	1	1	
C4	domain	Psychiatric	True	51	17.22	46	0.629	11.2	0.843	0.8431	0.000499750124937531	2.424	0.00768006541117884	0.4892	0.4337	0.5409	1	0.5332	0.5332	9.401	3.22794384888331e-09	0.00499750124937531	1
C4	domain	Respiratory	True	51	20.07	44	0.484	10.24	0.6715	0.6722	0.000499750124937531	1.268	0.102398023680864	0.2863	0.2448	0.3267	1	0.3075	0.3075	6.331	1.73046485443994e-07	0.00499750124937531	2
C4	domain	Musculoskeletal	True	93	36.97	55	0.458	17.48	0.5752	0.5754	0.0109945027486257	0.553	0.290224200773836	0.2482	0.2076	0.2878	0.996	0.2731	0.2721	1.349	0.115055749221695	0.0549725137431284	3
C4	domain	Alcohol-substance	True	4	2	4	0.756	1.76	0.7687	0.7687	0.0324837581209395	1.399	0.0808684398631806	0.3887	0.3241	0.4496	1	0.3894	0.3894	Inf	0.0775748468579554	0.129935032483758	4
C4	domain	Infectious	True	5	4	4	0.495	2.48	0.7027	0.7027	0.0559720139930035	0.991	0.160802028669615	0.3579	0.281	0.4303	1	0.3766	0.3766	3.595	0.224721810947921	0.15992003998001	5
C4	domain	Neurological	True	31	17.47	18	0.261	5.29	0.586	0.5833	0.0524737631184408	0.702	0.241298560305704	0.3059	0.2643	0.3463	0.975	0.2965	0.2891	1.247	0.343117171341199	0.15992003998001	6
C4	domain	Medication-use	True	7	5	4	0.378	2.51	0.6622	0.6622	0.0679660169915043	0.932	0.175772791525002	0.2843	0.239	0.3283	1	0.2641	0.2641	1.19	0.563376823043121	0.169915042478761	7
C4	domain	Endocrine-metabolic	True	28	14.36	18	0.281	4.76	0.542	0.5429	0.227386306846577	0.345	0.365180886768715	0.2219	0.1857	0.2574	0.983	0.2419	0.2379	1.639	0.148409889123913	0.460769615192404	8
C4	domain	Digestive	True	60	30.3	38	0.236	7.91	0.5298	0.5307	0.230384807596202	0.27	0.393661603575986	0.2209	0.1847	0.2565	0.996	0.268	0.267	1.611	0.0574452739761922	0.460769615192404	9
C4	domain	Genitourinary	True	50	21.94	27	0.34	8.12	0.4646	0.4673	0.788605697151424	-0.291	0.614513450231138	0.2211	0.179	0.2625	1	0.235	0.235	1.05	0.494628578986986	1	10
C4	domain	Immune-blood	True	9	6	3	0.472	3.36	0.4487	0.4528	0.705647176411794	-0.288	0.613398626038205	0.2044	0.1474	0.26	1	0.2105	0.2105	0.44	0.9368918343775	1	11
C4	domain	Cardiovascular	True	55	20.75	17	0.343	7.77	0.4209	0.4246	0.975012493753123	-0.694	0.756277550869393	0.17	0.1393	0.2004	1	0.1684	0.1684	0.365	0.99983790080605	1	12
C4	domain	Dermatologic	True	22	12.27	9	0.34	4.83	0.3823	0.3851	0.96751624187906	-0.853	0.803305840655437	0.1823	0.1318	0.2318	0.993	0.1995	0.1981	0.605	0.913904010415336	1	13
C4	domain	Otologic	True	16	8.31	7	0.373	3.72	0.3691	0.3702	0.965017491254373	-0.927	0.823051202725237	0.1877	0.1334	0.2408	0.965	0.1977	0.1907	0.686	0.840372197484715	1	14
C4	domain	Injury	True	9	5.08	1	0.574	3.34	0.3415	0.3415	0.95352323838081	-0.894	0.814312310429697	0.1646	0.1006	0.2273	1	0.1844	0.1844	0.109	0.998932525063684	1	15
C4	domain	Ophthalmic	True	36	19.85	7	0.203	4.82	0.265	0.2588	1	-2.155	0.984429795670782	0.1042	0.0672	0.1408	0.876	0.1498	0.1313	0.197	0.999995556095877	1	16
C4	domain	Reproductive-perinatal	True	33	17.42	9	0.284	5.66	0.2615	0.2558	1	-1.938	0.973703442372822	0.1285	0.0807	0.1757	0.823	0.1489	0.1225	0.315	0.999431437192839	1	17
C4	domain	Neoplasms	True	35	17.85	4	0.248	5.19	0.1347	0.1356	1	-3.188	0.999283972504516	0.0461	0.0071	0.085	0.757	0.0855	0.0647	0.104	0.999999984050523	1	18
C4	domain	Unclassified	False	5	4	5	0.469	2.41	0.8377	0.8377	0.00349825087456272	1.678	0.0466907727964747	0.3213	0.2701	0.3708	1	0.3459	0.3459	Inf	0.0407881058354641	0.0233216724970848	
C4	domain	Quantitative	False	3	3	0	0.443	1.89	0.4513	0.4081	0.616691654172914	-0.212	0.584023940777579	0.0814	0.042	0.1206	0.779	0.1013	0.0789	0	1	1	
C5_sub0	domain	Cardiovascular	True	55	20.75	36	0.343	7.77	0.7272	0.7406	0.000499750124937531	1.995	0.0230276239572962	0.2521	0.2282	0.2756	1	0.2598	0.2598	3.769	4.11753746094885e-06	0.00333166749958354	1
C5_sub0	domain	Musculoskeletal	True	93	36.97	55	0.458	17.48	0.7058	0.7111	0.000499750124937531	1.512	0.065293324487393	0.2392	0.2105	0.2674	0.978	0.2299	0.2249	3.044	9.86621989596884e-07	0.00333166749958354	2
C5_sub0	domain	Respiratory	True	51	20.07	30	0.484	10.24	0.6466	0.6668	0.00149925037481259	1.084	0.139169495405986	0.2147	0.1821	0.2469	1	0.236	0.236	2.737	0.000545391611159259	0.00749625187406297	3
C5_sub0	domain	Medication-use	True	7	5	5	0.378	2.51	0.7241	0.7372	0.0149925037481259	1.287	0.099056479976787	0.2996	0.2609	0.3373	1	0.2692	0.2692	4.453	0.0640907976970838	0.0456914399942886	4
C5_sub0	domain	Endocrine-metabolic	True	28	14.36	16	0.281	4.76	0.6184	0.6548	0.015992003998001	0.971	0.165775750383614	0.2299	0.1988	0.2606	1	0.2763	0.2763	2.438	0.0177378639129919	0.0456914399942886	5
C5_sub0	domain	Infectious	True	5	4	2	0.495	2.48	0.6093	0.6277	0.2063968015992	0.535	0.296425722965079	0.1861	0.124	0.2467	1	0.2926	0.2926	1.168	0.598182765225001	0.515992003998001	6
C5_sub0	domain	Dermatologic	True	22	12.27	9	0.34	4.83	0.5451	0.5501	0.243878060969515	0.327	0.371865644741859	0.1669	0.1298	0.2034	0.947	0.1983	0.1878	1.221	0.403875025506252	0.541951246598923	7
