cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank
C3	native	COPD and related endpoints	True	3	2	1	0.656	1.66	0.8566	0.8666	0.0129935032483758	1.657	0.0487882114384714	0.2359	0.1525	0.3159	1	0.2173	0.2173	4.875	0.257235904653842	0.0671331001166084	5
C3	native	Interstitial lung disease endpoints	True	3	2	0	0.554	1.55	0.7763	0.7979	0.0469765117441279	1.325	0.0925238577239327	0.1238	0.0504	0.1959	1	0.1295	0.1295	0	1	0.208038837723995	6
C3	native	X Diseases of the respiratory system (J10_)	True	28	11.58	3	0.467	5.95	0.5889	0.6554	0.055472263868066	0.652	0.257066262339846	0.0851	0.0385	0.1313	0.955	0.1102	0.1052	1.162	0.502306564979441	0.214955022488756	7
C3	native	XV Pregnancy, childbirth and the puerperium (O15_)	True	33	17.42	3	0.284	5.66	0.5764	0.1738	0.0729635182408796	0.621	0.267215915766251	-0.0442	-0.0954	0.0072	0.44	0.1173	-0.0516	0.959	0.619121855671055	0.251318785051918	8
C3	native	I Certain infectious and parasitic diseases (AB1_)	True	5	4	1	0.495	2.48	0.678	0.7297	0.088455772113943	0.871	0.192005002395586	0.1298	0.04	0.2175	1	0.1787	0.1787	2.429	0.39133918831784	0.274212893553223	9
C3	native	XI Diseases of the digestive system (K11_)	True	48	26.89	2	0.254	7.57	0.5407	0.5949	0.16391804097951	0.341	0.366656861451245	0.0651	0.0245	0.1056	0.891	0.1005	0.0896	0.397	0.954465045776502	0.461950842760438	10
C3	native	Neurological endpoints	True	4	4	0	0.127	1.38	0.6127	0.4705	0.225387306346827	0.662	0.2540413789064	0.0328	-0.0168	0.0822	0.456	0.0903	0.0412	0	1	0.582250541395969	11
C3	native	II Neoplasms from hospital discharges (CD2_)	True	12	7.13	1	0.326	3	0.5586	0.4778	0.247876061969016	0.402	0.343961602809796	0.0552	-0.0045	0.1146	0.394	0.1097	0.0432	0.872	0.698485952901838	0.591089070849191	12
C3	native	Comorbidities of Asthma	True	4	3	0	0.627	2.25	0.5745	0.3049	0.306346826586707	0.342	0.366094714902522	-0.0017	-0.0791	0.0756	0.358	0.0848	-0.0304	0	1	0.678339401727708	13
C3	native	XII Diseases of the skin and subcutaneous tissue (L12_)	True	22	12.27	1	0.34	4.83	0.5207	0.5253	0.398300849575212	0.15	0.440205069805412	0.0572	0.0036	0.1106	0.672	0.1002	0.0673	0.448	0.891141116254689	0.823155089122106	14
C3	native	Asthma and related endpoints	True	10	3.05	0	0.804	2.65	0.4813	0.5239	0.597701149425287	-0.124	0.549526563437967	0.0465	-0.003	0.0957	0.731	0.0678	0.0496	0	1	1	15
C3	native	VIII Diseases of the ear and mastoid process (H8_)	True	16	8.31	0	0.373	3.72	0.4639	0.5143	0.692153923038481	-0.255	0.600803976712295	0.0531	-0.0064	0.1123	0.751	0.0872	0.0655	0	1	1	16
C3	native	IV Endocrine, nutritional and metabolic diseases (E4_)	True	23	12.31	0	0.284	4.21	0.4494	0.53	0.798100949525237	-0.402	0.656094743559065	0.0577	0.0155	0.0997	0.798	0.064	0.0511	0	1	1	17
C3	native	XIV Diseases of the genitourinary system (N14_)	True	50	21.94	0	0.34	8.12	0.4423	0.399	0.910044977511244	-0.475	0.682463055136897	0.0159	-0.0288	0.0606	0.348	0.0748	0.026	0	1	1	18
C3	native	IX Diseases of the circulatory system (I9_)	True	49	21.41	0	0.311	7.34	0.4393	0.4818	0.915542228885557	-0.52	0.698509001371501	0.0298	-0.0053	0.065	0.708	0.0602	0.0426	0	1	1	19
C3	native	VI Diseases of the nervous system (G6_)	True	26	15.29	0	0.278	4.97	0.4115	0.4459	0.937531234382809	-0.686	0.75365807731119	0.0369	-0.0085	0.0823	0.522	0.0625	0.0327	0	1	1	20
C3	native	Cardiometabolic endpoints	True	6	3	0	0.655	2.31	0.4037	0.5484	0.7936031984008	-0.534	0.703485312946163	0.0417	-0.0106	0.0939	1	0.0558	0.0558	0	1	1	21
C3	native	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	True	83	32.95	0	0.497	16.9	0.3954	0.4151	0.999000499750125	-0.746	0.772084033807091	0.0227	-0.0203	0.0656	0.44	0.0541	0.0238	0	1	1	22
C3	native	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	True	7	5	0	0.457	2.83	0.3421	0.4821	0.92303848075962	-0.855	0.803647166821813	0.0627	-0.0229	0.1474	0.887	0.0665	0.059	0	1	1	23
C3	native	II Neoplasms, from cancer register (ICD-O-3)	True	23	12.12	2	0.302	4.36	0.3153	0.3636	0.998500749625187	-1.441	0.925164834298535	0.0168	-0.0265	0.06	0.349	0.0636	0.0222	0.913	0.656991819142132	1	24
C3	native	VII Diseases of the eye and adnexa (H7_)	True	36	19.85	0	0.203	4.82	0.3146	0.3316	1	-1.7	0.955472233685525	0.0051	-0.0363	0.0465	0.169	0.0495	0.0084	0	1	1	25
C3	native	Drug purchase endpoints	True	7	5	0	0.378	2.51	0.3012	0.3875	0.964017991004498	-1.142	0.873171799943708	0.0209	-0.0297	0.0713	0.498	0.0373	0.0186	0	1	1	26
C3	native	Rheuma endpoints	True	10	6.07	0	0.443	3.25	0.2886	0.2813	0.994502748625687	-1.274	0.898625662837557	-0.0181	-0.0811	0.0451	0.114	0.0385	-0.0044	0	1	1	27
C3	native	Gastrointestinal endpoints	True	11	6.23	0	0.499	3.61	0.2877	0.3202	0.993503248375812	-1.271	0.898120402164699	-0.0012	-0.0658	0.0633	0.195	0.0479	0.0093	0	1	1	28
C3	native	Diabetes endpoints	True	4	3	0	0.486	1.97	0.225	0.1993	0.970014992503748	-1.351	0.911682426109734	-0.0171	-0.0707	0.0365	1	0.0284	-0.0284	0	1	1	29
C3	native	Miscellaneous, not yet classified endpoints	False	5	4	3	0.469	2.41	0.928	0.9303	0.000499750124937531	2.127	0.01672339639323	0.2785	0.2236	0.3316	1	0.2842	0.2842	15.167	0.00693317886213938	0.00309845077461269	
C3	native	Quantitative endpoints	False	3	3	0	0.443	1.89	0.0653	0.2708	0.997501249375312	-1.893	0.970814930281899	-0.004	-0.0488	0.0409	1	0.0038	-0.0038	0	1	1	
C4	native	Psychiatric endpoints from Katri Räikkönen	True	12	4.23	11	0.726	3.35	0.8963	0.8963	0.000499750124937531	2.57	0.00507874876060067	0.531	0.4753	0.5825	1	0.5644	0.5644	10.11	0.00524063458779055	0.00774612693653173	1
C4	native	V Mental and behavioural disorders (F5_)	True	39	13.93	35	0.601	8.77	0.8112	0.8114	0.000499750124937531	2.197	0.0140135393854542	0.4734	0.415	0.5279	1	0.5236	0.5236	8.627	4.7039208694744e-07	0.00774612693653173	2
C4	native	X Diseases of the respiratory system (J10_)	True	28	11.58	24	0.467	5.95	0.6636	0.6644	0.000999500249875062	1.2	0.115078210515287	0.2809	0.2384	0.3224	1	0.3109	0.3109	5.696	0.000210270369291661	0.010328169248709	3
C4	native	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	True	83	32.95	52	0.497	16.9	0.6111	0.6107	0.00149925037481259	0.792	0.214244318995537	0.2604	0.2186	0.3012	0.996	0.2872	0.2862	1.59	0.0354719350926524	0.0116191904047976	4
C4	native	Interstitial lung disease endpoints	True	3	2	3	0.554	1.55	0.8793	0.8793	0.00699650174912544	1.819	0.0344253060985522	0.4244	0.3576	0.4869	1	0.4262	0.4262	Inf	0.147318794348546	0.0361485923704814	5
C4	native	Asthma and related endpoints	True	10	3.05	9	0.804	2.65	0.7082	0.7084	0.00949525237381309	1.389	0.0823704885907247	0.3147	0.2675	0.3604	1	0.317	0.317	8.219	0.016285358340695	0.0420504033697437	6
C4	native	Alcohol related diseases	True	4	2	4	0.756	1.76	0.7687	0.7687	0.0274862568715642	1.399	0.0808684398631806	0.3887	0.3241	0.4496	1	0.3894	0.3894	Inf	0.0775748468579554	0.0981176078627353	7
C4	native	XI Diseases of the digestive system (K11_)	True	48	26.89	35	0.254	7.57	0.5822	0.5827	0.0284857571214393	0.687	0.24591964137001	0.2371	0.198	0.2755	0.996	0.2919	0.2906	2.57	0.00262303892489737	0.0981176078627353	8
C4	native	I Certain infectious and parasitic diseases (AB1_)	True	5	4	4	0.495	2.48	0.7027	0.7027	0.0594702648675662	0.991	0.160802028669615	0.3579	0.281	0.4303	1	0.3766	0.3766	3.595	0.224721810947921	0.184357821089455	9
C4	native	Drug purchase endpoints	True	7	5	4	0.378	2.51	0.6622	0.6622	0.0674662668665667	0.932	0.175772791525002	0.2843	0.239	0.3283	1	0.2641	0.2641	1.19	0.563376823043121	0.190132206623961	10
C4	native	VI Diseases of the nervous system (G6_)	True	26	15.29	15	0.278	4.97	0.5749	0.5712	0.105447276361819	0.58	0.280948632933238	0.2928	0.2481	0.3362	0.969	0.2885	0.2796	1.225	0.383523977896024	0.272405463934699	11
C4	native	COPD and related endpoints	True	3	2	3	0.656	1.66	0.6224	0.6224	0.256871564217891	0.569	0.284836809193437	0.292	0.2121	0.368	1	0.3145	0.3145	Inf	0.147318794348546	0.612539883904202	12
C4	native	IV Endocrine, nutritional and metabolic diseases (E4_)	True	23	12.31	15	0.284	4.21	0.5328	0.5366	0.294352823588206	0.26	0.397362173992236	0.2274	0.1881	0.2659	1	0.2503	0.2503	1.703	0.160100678320879	0.651781252231027	13
C4	native	Neurological endpoints	True	4	4	2	0.127	1.38	0.5424	0.5449	0.369315342328836	0.249	0.40164150157636	0.3114	0.2576	0.3634	1	0.2488	0.2488	0.89	0.730272921486881	0.763251707479594	14
C4	native	Cardiometabolic endpoints	True	6	3	3	0.655	2.31	0.5117	0.517	0.472263868065967	0.065	0.474136530233058	0.2142	0.1647	0.2626	1	0.1843	0.1843	0.89	0.709742032803452	0.861187053532058	15
C4	native	Diabetes endpoints	True	4	3	2	0.486	1.97	0.5075	0.4921	0.468265867066467	0.037	0.485324294967596	0.1789	0.1277	0.2291	0.834	0.1695	0.1414	0.89	0.730272921486881	0.861187053532058	16
C4	native	Comorbidities of Asthma	True	4	3	2	0.627	2.25	0.4696	0.4713	0.571714142928536	-0.14	0.555497109809147	0.2174	0.145	0.2875	1	0.213	0.213	0.89	0.730272921486881	0.984618801710256	17
C4	native	XIV Diseases of the genitourinary system (N14_)	True	50	21.94	27	0.34	8.12	0.4646	0.4673	0.787106446776612	-0.291	0.614513450231138	0.2211	0.179	0.2625	1	0.235	0.235	1.05	0.494628578986986	1	18
C4	native	IX Diseases of the circulatory system (I9_)	True	49	21.41	14	0.311	7.34	0.4107	0.4141	0.978510744627686	-0.766	0.77811989208229	0.1644	0.1327	0.1958	1	0.1665	0.1665	0.327	0.999910640745206	1	19
C4	native	XII Diseases of the skin and subcutaneous tissue (L12_)	True	22	12.27	9	0.34	4.83	0.3823	0.3851	0.977011494252874	-0.853	0.803305840655437	0.1823	0.1318	0.2318	0.993	0.1995	0.1981	0.605	0.913904010415336	1	20
C4	native	VIII Diseases of the ear and mastoid process (H8_)	True	16	8.31	7	0.373	3.72	0.3691	0.3702	0.96351824087956	-0.927	0.823051202725237	0.1877	0.1334	0.2408	0.965	0.1977	0.1907	0.686	0.840372197484715	1	21
C4	native	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	True	7	5	1	0.457	2.83	0.3674	0.3727	0.87656171914043	-0.718	0.763515054444063	0.1916	0.1192	0.2619	1	0.2069	0.2069	0.146	0.995051100471205	1	22
C4	native	Gastrointestinal endpoints	True	11	6.23	3	0.499	3.61	0.348	0.3491	0.958520739630185	-0.91	0.818559796991317	0.1671	0.1064	0.2267	1	0.1838	0.1838	0.328	0.979946630533394	1	23
C4	native	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	True	9	5.08	1	0.574	3.34	0.3415	0.3415	0.952523738130935	-0.894	0.814312310429697	0.1646	0.1006	0.2273	1	0.1844	0.1844	0.109	0.998932525063684	1	24
C4	native	Rheuma endpoints	True	10	6.07	3	0.443	3.25	0.2931	0.2968	0.989005497251374	-1.246	0.893695103806451	0.1345	0.0767	0.1913	1	0.1558	0.1558	0.376	0.964072315770346	1	25
C4	native	VII Diseases of the eye and adnexa (H7_)	True	36	19.85	7	0.203	4.82	0.265	0.2588	1	-2.155	0.984429795670782	0.1042	0.0672	0.1408	0.876	0.1498	0.1313	0.197	0.999995556095877	1	26
C4	native	XV Pregnancy, childbirth and the puerperium (O15_)	True	33	17.42	9	0.284	5.66	0.2615	0.2558	1	-1.938	0.973703442372822	0.1285	0.0807	0.1757	0.823	0.1489	0.1225	0.315	0.999431437192839	1	27
C4	native	II Neoplasms from hospital discharges (CD2_)	True	12	7.13	3	0.326	3	0.2486	0.2566	0.999000499750125	-1.723	0.957578635009201	0.1359	0.0773	0.1935	0.992	0.1469	0.1458	0.29	0.98899433668435	1	28
