cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
C0	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.7148	0.3419	0.103948025987006	0.936	0.174562030659388	9e-04	-0.0422	0.0439	0.185	0.0685	-0.0126	0	1	0.103948025987006	1	3
C1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.8052	0.6232	0.0349825087456272	1.33	0.0917384111399359	0.1286	0.0832	0.1734	0.675	0.2025	0.1367	3.469	0.304799556545658	0.0349825087456272	1	3
C2_sub0	anthro_class	Anthropometric	True	3	3	1	0.443	1.89	0.8346	0.4203	0.0199900049975013	1.458	0.0723777879493506	-0.1032	-0.131	-0.0752	0.429	0.2009	-0.0861	0.47	0.886132364945393	0.0199900049975013	1	3
C2_sub1	anthro_class	Anthropometric	True	3	3	1	0.443	1.89	0.8615	0.3798	0.00899550224887556	1.575	0.0575884694991992	-0.0785	-0.1443	-0.0121	0.573	0.1694	-0.0971	5.007	0.250983055203193	0.00899550224887556	1	3
C3	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.0682	0.2937	0.999000499750125	-1.882	0.970073026063902	-0.004	-0.0488	0.0409	1	0.0038	-0.0038	0	1	0.999000499750125	1	3
C4	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.5188	0.4591	0.457271364317841	0.082	0.467426903652228	0.0814	0.042	0.1206	0.779	0.1013	0.0789	0	1	0.457271364317841	1	3
C5_sub0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.9314	0.9314	0.00199900049975013	1.88	0.0300533421320404	0.2473	0.1965	0.2968	1	0.583	0.583	4.358	0.236054919808175	0.00199900049975013	1	3
C5_sub1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.8491	0.6304	0.0169915042478761	1.521	0.0640708760169598	0.1334	0.0956	0.1708	0.711	0.2452	0.1742	3.431	0.308359330993544	0.0169915042478761	1	3
C6_sub0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.6735	0.6402	0.135932033983008	0.756	0.224797298085737	0.2042	0.1721	0.2359	0.911	0.2558	0.2331	1.109	0.709333458839279	0.135932033983008	1	3
C6_sub1	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.3414	0.2379	0.816591704147926	-0.691	0.755239523286101	0.0111	-0.0206	0.0427	0.466	0.0446	0.0208	0	1	0.816591704147926	1	3
noise_re0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.8917	0.6556	0.00649675162418791	1.707	0.0438884954363031	0.1723	0.1303	0.2136	0.793	0.3109	0.2465	6.188	0.151256976910392	0.00649675162418791	1	3
noise_re1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.5575	0.5754	0.367816091954023	0.251	0.40098751069073	0.1623	0.132	0.1922	0.993	0.1697	0.1686	0.99	0.743853694929908	0.367816091954023	1	3
noise_re2	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.6726	0.4582	0.16591704147926	0.752	0.225912597688013	0.0451	0.0021	0.0879	0.33	0.0988	0.0326	0	1	0.16591704147926	1	3
noise_re3	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.8073	0.6616	0.0309845077461269	1.339	0.0902179020349397	0.1755	0.1401	0.2104	0.802	0.2616	0.2098	2.507	0.417114404148071	0.0309845077461269	1	3
noise_re4	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.6931	0.5853	0.133433283358321	0.842	0.20002104096547	0.1019	0.0569	0.1464	0.721	0.1232	0.0889	0	1	0.133433283358321	1	3
C0	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.6766	0.3306	0.154922538730635	0.769	0.220881408912433	9e-04	-0.0422	0.0439	0.185	0.0685	-0.0126	0	1	0.154922538730635	1	4
C1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.7663	0.6096	0.0604697651174413	1.16	0.123053288148422	0.1286	0.0832	0.1734	0.675	0.2025	0.1367	2.509	0.417145567657308	0.0604697651174413	1	4
