cluster_label	auto_label	anchor_shape	anchor_margin	anchor_focus	n_sig_domains	top_auc	top_q	top_pooled_rg	top_coherence	profile	z_threshold	label_stable
C0	ambiguous	weak			0	0.715	0.103948025987006	0.001	0.185	Anthropometric (AUC=0.71 q=1.0e-01 rg=0.00 coh=0.18 n=3)	3	True
C1	ambiguous	sharp		1	1	0.805	0.0349825087456272	0.129	0.675	Anthropometric (AUC=0.81 q=3.5e-02 rg=0.13 coh=0.68 n=3)	3	True
C2_sub0	ambiguous	sharp		1	1	0.835	0.0199900049975013	-0.103	0.429	Anthropometric (AUC=0.83 q=2.0e-02 rg=-0.10 coh=0.43 n=3)	3	True
C2_sub1	ambiguous	sharp		1	1	0.862	0.00899550224887556	-0.078	0.573	Anthropometric (AUC=0.86 q=9.0e-03 rg=-0.08 coh=0.57 n=3)	3	True
C3	ambiguous	weak			0	0.068	0.999000499750125	-0.004	1	Anthropometric (AUC=0.07 q=1.0e+00 rg=-0.00 coh=1.00 n=3)	3	True
C4	ambiguous	weak			0	0.519	0.457271364317841	0.081	0.779	Anthropometric (AUC=0.52 q=4.6e-01 rg=0.08 coh=0.78 n=3)	3	True
C5_sub0	Anthropometric	sharp		1	1	0.931	0.00199900049975013	0.247	1	Anthropometric (AUC=0.93 q=2.0e-03 rg=0.25 coh=1.00 n=3)	3	True
C5_sub1	ambiguous	sharp		1	1	0.849	0.0169915042478761	0.133	0.711	Anthropometric (AUC=0.85 q=1.7e-02 rg=0.13 coh=0.71 n=3)	3	True
C6_sub0	ambiguous	weak			0	0.673	0.135932033983008	0.204	0.911	Anthropometric (AUC=0.67 q=1.4e-01 rg=0.20 coh=0.91 n=3)	3	True
C6_sub1	ambiguous	weak			0	0.341	0.816591704147926	0.011	0.466	Anthropometric (AUC=0.34 q=8.2e-01 rg=0.01 coh=0.47 n=3)	3	True
noise_re0	Anthropometric	sharp		1	1	0.892	0.00649675162418791	0.172	0.793	Anthropometric (AUC=0.89 q=6.5e-03 rg=0.17 coh=0.79 n=3)	3	False
noise_re1	ambiguous	weak			0	0.557	0.367816091954023	0.162	0.993	Anthropometric (AUC=0.56 q=3.7e-01 rg=0.16 coh=0.99 n=3)	3	True
noise_re2	ambiguous	weak			0	0.673	0.16591704147926	0.045	0.33	Anthropometric (AUC=0.67 q=1.7e-01 rg=0.05 coh=0.33 n=3)	3	True
noise_re3	ambiguous	sharp		1	1	0.807	0.0309845077461269	0.176	0.802	Anthropometric (AUC=0.81 q=3.1e-02 rg=0.18 coh=0.80 n=3)	3	True
noise_re4	ambiguous	weak			0	0.693	0.133433283358321	0.102	0.721	Anthropometric (AUC=0.69 q=1.3e-01 rg=0.10 coh=0.72 n=3)	3	True
C0	ambiguous	weak			0	0.677	0.154922538730635	0.001	0.185	Anthropometric (AUC=0.68 q=1.5e-01 rg=0.00 coh=0.18 n=3)	4	True
C1	ambiguous	weak			0	0.766	0.0604697651174413	0.129	0.675	Anthropometric (AUC=0.77 q=6.0e-02 rg=0.13 coh=0.68 n=3)	4	True
C2_sub0	ambiguous	sharp		1	1	0.788	0.0474762618690655	-0.103	0.429	Anthropometric (AUC=0.79 q=4.7e-02 rg=-0.10 coh=0.43 n=3)	4	True
C2_sub1	ambiguous	sharp		1	1	0.827	0.0264867566216892	-0.078	0.573	Anthropometric (AUC=0.83 q=2.6e-02 rg=-0.08 coh=0.57 n=3)	4	True
C3	ambiguous	weak			0	0.065	1	-0.004	1	Anthropometric (AUC=0.07 q=1.0e+00 rg=-0.00 coh=1.00 n=3)	4	True
C4	ambiguous	weak			0	0.451	0.616191904047976	0.081	0.779	Anthropometric (AUC=0.45 q=6.2e-01 rg=0.08 coh=0.78 n=3)	4	True
C5_sub0	Anthropometric	sharp		1	1	0.916	0.00299850074962519	0.247	1	Anthropometric (AUC=0.92 q=3.0e-03 rg=0.25 coh=1.00 n=3)	4	True
C5_sub1	ambiguous	sharp		1	1	0.812	0.0349825087456272	0.133	0.711	Anthropometric (AUC=0.81 q=3.5e-02 rg=0.13 coh=0.71 n=3)	4	True
C6_sub0	ambiguous	weak			0	0.648	0.208895552223888	0.204	0.911	Anthropometric (AUC=0.65 q=2.1e-01 rg=0.20 coh=0.91 n=3)	4	True
C6_sub1	ambiguous	weak			0	0.249	0.929535232383808	0.011	0.466	Anthropometric (AUC=0.25 q=9.3e-01 rg=0.01 coh=0.47 n=3)	4	True
noise_re0	ambiguous	sharp		1	1	0.871	0.0109945027486257	0.172	0.793	Anthropometric (AUC=0.87 q=1.1e-02 rg=0.17 coh=0.79 n=3)	4	False
noise_re1	ambiguous	weak			0	0.523	0.458270864567716	0.162	0.993	Anthropometric (AUC=0.52 q=4.6e-01 rg=0.16 coh=0.99 n=3)	4	True
noise_re2	ambiguous	weak			0	0.608	0.285857071464268	0.045	0.33	Anthropometric (AUC=0.61 q=2.9e-01 rg=0.05 coh=0.33 n=3)	4	True
noise_re3	ambiguous	weak			0	0.777	0.0514742628685657	0.176	0.802	Anthropometric (AUC=0.78 q=5.1e-02 rg=0.18 coh=0.80 n=3)	4	True
noise_re4	ambiguous	weak			0	0.641	0.197901049475262	0.102	0.721	Anthropometric (AUC=0.64 q=2.0e-01 rg=0.10 coh=0.72 n=3)	4	True
C0	ambiguous	weak			0	0.643	0.205897051474263	0.001	0.185	Anthropometric (AUC=0.64 q=2.1e-01 rg=0.00 coh=0.18 n=3)	5	True
C1	ambiguous	weak			0	0.74	0.0854572713643178	0.129	0.675	Anthropometric (AUC=0.74 q=8.5e-02 rg=0.13 coh=0.68 n=3)	5	True
C2_sub0	ambiguous	weak			0	0.754	0.0804597701149425	-0.103	0.429	Anthropometric (AUC=0.75 q=8.0e-02 rg=-0.10 coh=0.43 n=3)	5	True
C2_sub1	ambiguous	sharp		1	1	0.795	0.0379810094952524	-0.078	0.573	Anthropometric (AUC=0.80 q=3.8e-02 rg=-0.08 coh=0.57 n=3)	5	True
C3	ambiguous	weak			0	0.062	0.999000499750125	-0.004	1	Anthropometric (AUC=0.06 q=1.0e+00 rg=-0.00 coh=1.00 n=3)	5	True
C4	ambiguous	weak			0	0.406	0.711644177911045	0.081	0.779	Anthropometric (AUC=0.41 q=7.1e-01 rg=0.08 coh=0.78 n=3)	5	True
C5_sub0	Anthropometric	sharp		1	1	0.903	0.00399800099950025	0.247	1	Anthropometric (AUC=0.90 q=4.0e-03 rg=0.25 coh=1.00 n=3)	5	True
C5_sub1	ambiguous	sharp		1	1	0.787	0.0439780109945028	0.133	0.711	Anthropometric (AUC=0.79 q=4.4e-02 rg=0.13 coh=0.71 n=3)	5	True
